Hydraulic Retention Time (Days),Temperature (°C),pH,Biogas Yield (m³/Kg),CH4 (%)
26,35,7.11,0.43,61.12
29,33,6.99,0.44,62.19
1,29,6.73,0.01,2.79
14,33,7.01,0.3,31.38
27,35,7.1,0.45,61.92
18,33,6.98,0.37,45.36
11,31,6.92,0.23,13.54
3,31,6.78,0.04,5.65
8,29,6.84,0.17,3.9
28,34,7.05,0.45,62.08
8,31,6.9,0.14,4.62
17,32,6.99,0.37,42.67
29,31,6.99,0.45,61.89
27,33,7.07,0.46,62.57
7,29,6.8,0.13,4.73
17,32,6.99,0.36,43.26
3,30,6.75,0.04,6.41
8,29,6.91,0.16,3.38
28,34,7.04,0.44,62.6
17,33,7.02,0.36,43.38
25,36,7.08,0.46,59.67
13,32,6.99,0.27,25.45
6,29,6.84,0.1,3.98
1,29,6.72,0.01,2.96
24,36,7.09,0.42,56.85
10,31,6.89,0.2,8.56
13,32,6.96,0.29,24.99
19,33,7.0,0.39,47.28
14,32,6.99,0.29,30.5
1,27,6.69,0.01,3.95
24,36,7.07,0.43,56.17
20,33,6.99,0.4,48.24
23,33,7.06,0.43,55.47
14,32,6.99,0.29,30.85
19,33,6.97,0.38,46.77
6,30,6.84,0.11,5.46
0,25,6.7,0.0,0.0
4,30,6.77,0.05,6.81
4,31,6.8,0.07,5.55
17,34,7.01,0.36,43.49
20,34,6.99,0.4,48.76
12,30,6.94,0.26,19.0
26,36,7.15,0.44,60.44
27,35,7.13,0.46,62.42
8,29,6.84,0.16,3.37
1,27,6.73,0.01,3.79
11,30,6.91,0.21,12.93
8,29,6.84,0.14,3.23
4,30,6.78,0.05,5.7
27,33,7.07,0.45,61.41
10,31,6.85,0.21,8.09
24,34,7.1,0.42,56.84
14,33,6.99,0.3,31.31
26,36,7.12,0.43,60.9
14,33,7.0,0.29,31.28
20,34,6.97,0.42,49.0
4,30,6.78,0.07,5.87
7,30,6.83,0.13,4.01
14,34,6.99,0.29,31.43
18,32,7.02,0.37,44.56
28,32,7.05,0.43,61.53
8,30,6.87,0.14,4.39
25,34,7.08,0.45,59.05
8,29,6.88,0.14,4.12
27,33,7.08,0.46,61.83
15,33,6.99,0.33,36.43
29,32,7.02,0.46,62.13
29,31,6.99,0.44,61.42
10,30,6.92,0.21,9.14
17,34,6.98,0.38,43.22
25,34,7.08,0.46,59.36
5,29,6.82,0.08,4.35
0,27,6.72,0.02,0.0
29,33,6.98,0.45,61.43
13,31,6.97,0.29,26.15
27,33,7.09,0.45,62.28
28,34,7.07,0.46,63.14
1,27,6.72,0.02,3.18
29,33,6.96,0.45,62.59
12,31,6.95,0.26,19.31
9,29,6.85,0.15,5.66
0,26,6.72,0.0,0.0
16,34,7.01,0.35,40.12
26,35,7.13,0.44,60.76
11,30,6.9,0.23,12.94
1,28,6.74,0.01,3.02
23,34,7.01,0.43,54.0
9,30,6.85,0.17,5.54
23,34,7.04,0.43,54.87
25,36,7.13,0.44,59.5
16,34,7.01,0.33,40.37
7,29,6.83,0.12,3.89
20,32,7.01,0.39,48.25
13,32,6.98,0.29,23.95
10,29,6.89,0.22,8.97
16,32,7.0,0.36,39.54
4,31,6.77,0.06,5.48
4,29,6.78,0.05,5.71
2,29,6.75,0.01,4.47
26,36,7.12,0.45,60.16
28,34,7.02,0.47,63.12
13,32,6.95,0.28,24.53
27,34,7.08,0.46,61.99
22,35,7.04,0.41,52.45
24,35,7.08,0.43,56.45
6,29,6.85,0.12,4.56
14,32,6.98,0.3,31.37
8,31,6.88,0.16,5.01
14,32,7.01,0.3,31.16
22,34,7.08,0.42,52.05
15,34,7.01,0.3,36.03
18,34,7.0,0.37,45.25
29,32,6.97,0.44,62.1
2,30,6.78,0.02,5.36
19,33,6.99,0.39,46.05
2,28,6.73,0.04,5.5
17,32,7.03,0.37,43.06
11,29,6.95,0.22,12.9
11,30,6.92,0.23,13.09
21,34,7.02,0.42,50.44
22,35,7.03,0.42,52.28
8,29,6.87,0.15,4.21
27,35,7.1,0.46,62.43
6,30,6.81,0.1,4.12
11,29,6.91,0.21,12.8
26,36,7.14,0.44,60.65
6,31,6.81,0.09,4.33
26,34,7.11,0.45,60.33
27,33,7.06,0.45,62.6
2,29,6.74,0.0,0.0
5,30,6.82,0.1,5.4
25,34,7.11,0.43,58.65
8,30,6.88,0.13,3.85
14,32,7.03,0.3,31.71
4,30,6.8,0.06,5.7
8,31,6.89,0.14,3.61
0,25,6.7,0.0,0.0
24,36,7.13,0.44,57.82
13,31,6.98,0.3,25.01
25,34,7.09,0.43,58.79
13,31,7.0,0.27,23.77
2,29,6.74,0.03,5.73
22,33,7.01,0.42,51.57
23,35,7.07,0.45,54.85
15,33,7.01,0.32,36.57
20,33,6.96,0.42,47.66
8,30,6.86,0.12,3.19
17,32,6.95,0.35,43.26
15,33,6.97,0.31,36.98
22,33,7.03,0.42,52.34
16,34,6.96,0.36,39.68
25,34,7.1,0.43,59.3
8,29,6.87,0.15,4.73
6,29,6.86,0.11,4.73
28,32,7.02,0.46,62.48
20,33,6.99,0.41,48.51
17,34,7.01,0.37,43.03
11,30,6.91,0.23,13.78
4,30,6.77,0.04,7.47
25,35,7.12,0.44,59.39
20,32,7.01,0.4,47.55
23,33,7.06,0.43,54.53
24,35,7.08,0.43,56.63
25,35,7.1,0.44,59.26
10,29,6.89,0.2,7.97
24,35,7.09,0.44,57.8
14,34,7.01,0.29,31.25
15,34,7.0,0.33,35.45
8,30,6.85,0.15,4.5
20,32,7.01,0.39,49.22
18,34,7.0,0.38,44.6
30,29,6.92,0.45,60.7
14,34,7.0,0.31,31.7
18,32,7.01,0.37,45.64
21,32,7.01,0.4,50.21
16,32,7.02,0.35,40.48
14,33,7.0,0.31,31.59
26,34,7.11,0.43,61.39
8,31,6.89,0.13,3.64
1,28,6.75,0.02,2.87
16,34,7.02,0.33,40.05
18,34,7.0,0.35,44.81
12,31,6.94,0.25,18.56
16,32,6.99,0.34,39.58
19,33,7.02,0.4,47.11
10,31,6.87,0.2,8.72
0,26,6.72,0.01,0.5
14,32,7.0,0.3,30.8
22,34,7.03,0.43,52.66
1,28,6.72,0.0,0.0
21,34,7.01,0.42,50.62
27,34,7.09,0.45,62.12
8,30,6.86,0.15,4.58
26,34,7.09,0.46,60.26
5,31,6.77,0.07,5.08
29,33,6.99,0.46,61.1
22,35,7.03,0.43,52.59
30,29,6.91,0.46,60.86
6,29,6.8,0.1,3.64
18,32,7.01,0.36,44.38
8,31,6.84,0.15,4.29
11,31,6.9,0.23,12.33
2,28,6.77,0.02,5.7
29,32,6.95,0.45,62.11
23,34,7.03,0.43,54.97
19,32,6.98,0.38,47.6
29,33,7.01,0.44,61.99
6,31,6.82,0.1,4.69
11,29,6.96,0.24,13.81
27,35,7.12,0.47,61.64
16,32,7.0,0.36,40.51
22,33,7.03,0.42,52.71
4,31,6.79,0.06,5.58
13,31,6.99,0.28,24.79
25,34,7.09,0.44,59.03
22,33,7.02,0.41,51.81
26,36,7.09,0.43,60.68
27,35,7.13,0.46,62.01
14,33,6.99,0.31,31.0
15,32,7.02,0.33,36.41
19,32,6.97,0.38,47.18
28,32,7.02,0.45,62.55
21,33,6.99,0.42,50.05
12,30,6.95,0.23,18.87
26,34,7.11,0.45,60.35
2,29,6.71,0.04,4.9
14,33,6.97,0.3,31.2
5,31,6.79,0.09,5.1
13,31,6.97,0.27,24.99
26,34,7.09,0.45,59.65
6,29,6.8,0.11,4.23
27,34,7.1,0.45,62.2
24,34,7.08,0.43,57.26
18,32,7.04,0.37,44.26
27,34,7.11,0.44,61.76
20,33,6.98,0.41,48.7
17,33,7.01,0.35,43.16
24,35,7.12,0.44,56.94
13,32,6.97,0.29,24.81
12,31,6.93,0.26,18.75
15,32,6.99,0.3,36.07
4,31,6.82,0.06,5.83
7,29,6.86,0.12,3.23
25,34,7.08,0.43,59.29
8,31,6.85,0.15,4.93
25,36,7.1,0.43,58.14
6,31,6.83,0.11,4.63
21,34,7.0,0.41,49.76
10,29,6.9,0.2,8.37
22,34,7.04,0.41,52.37
23,35,7.09,0.41,55.2
10,30,6.92,0.2,8.73
0,25,6.71,0.0,0.0
4,31,6.78,0.05,6.12
16,34,7.02,0.35,39.7
2,30,6.75,0.03,5.9
1,27,6.7,0.01,2.25
24,36,7.1,0.41,58.08
18,34,6.99,0.36,44.98
11,30,6.9,0.22,13.23
3,29,6.76,0.04,6.33
12,30,6.95,0.24,18.74
27,35,7.07,0.44,61.34
9,29,6.86,0.17,5.51
5,31,6.79,0.08,4.94
18,33,7.01,0.37,45.09
7,31,6.81,0.11,3.96
12,30,6.95,0.25,18.88
5,31,6.83,0.09,4.74
23,35,7.02,0.42,55.19
17,34,7.01,0.36,43.54
11,29,6.95,0.22,12.95
27,34,7.09,0.45,61.58
2,30,6.74,0.01,4.85
28,32,7.07,0.46,61.31
14,34,6.98,0.3,32.34
13,33,7.01,0.29,24.57
4,30,6.79,0.06,5.66
20,33,6.99,0.4,48.26
8,30,6.84,0.14,4.2
5,29,6.78,0.08,4.67
15,32,7.0,0.32,37.03
28,33,7.03,0.45,62.11
16,32,7.01,0.35,40.86
18,34,6.94,0.36,44.98
5,31,6.82,0.09,4.83
29,31,6.99,0.47,61.85
18,34,6.99,0.37,44.43
6,29,6.81,0.1,4.4
18,33,7.0,0.38,43.74
14,34,7.02,0.3,31.26
16,32,7.02,0.34,40.45
13,33,6.99,0.3,24.64
30,29,6.9,0.47,60.63
16,32,7.0,0.34,38.94
24,36,7.1,0.43,57.35
25,35,7.1,0.43,57.94
22,35,7.03,0.42,53.31
3,30,6.75,0.04,6.29
8,29,6.86,0.16,4.71
11,30,6.94,0.24,13.9
29,31,6.99,0.44,61.23
4,29,6.77,0.07,5.82
5,30,6.79,0.08,5.24
25,35,7.09,0.46,57.72
22,35,7.05,0.41,53.06
15,34,6.98,0.31,35.96
24,35,7.07,0.44,56.63
21,32,7.02,0.41,50.76
14,32,7.03,0.29,31.49
25,36,7.09,0.44,58.93
16,32,6.99,0.36,40.2
8,30,6.85,0.14,4.03
14,33,6.98,0.29,31.85
5,31,6.82,0.08,5.14
30,30,6.88,0.45,60.13
12,30,6.97,0.25,18.69
26,35,7.1,0.44,60.46
15,33,7.04,0.31,36.11
19,33,6.97,0.38,46.8
2,28,6.72,0.04,5.84
29,33,7.0,0.44,61.87
26,35,7.1,0.43,60.59
30,29,6.91,0.43,60.1
13,31,6.99,0.28,24.83
1,27,6.7,0.02,3.03
27,34,7.11,0.43,62.05
17,32,6.96,0.36,42.63
4,31,6.82,0.06,5.9
17,32,6.96,0.37,42.51
17,34,7.0,0.35,42.81
4,30,6.8,0.08,5.97
22,35,7.04,0.41,52.89
13,33,6.98,0.26,25.24
12,30,6.96,0.25,18.59
18,33,6.98,0.37,44.32
19,32,7.01,0.39,46.91
21,32,7.01,0.4,49.88
20,32,7.0,0.4,48.69
1,29,6.71,0.0,0.0
10,29,6.88,0.21,8.67
25,34,7.08,0.44,58.81
21,34,7.02,0.39,50.37
29,32,6.97,0.46,61.38
12,31,6.94,0.24,18.75
25,35,7.1,0.43,59.39
28,32,7.02,0.46,62.56
5,30,6.8,0.09,5.6
30,28,6.89,0.46,60.81
23,33,7.05,0.44,53.99
20,34,7.0,0.4,47.93
28,33,7.04,0.44,61.37
13,33,6.94,0.28,25.08
9,31,6.92,0.17,5.34
22,34,7.05,0.43,52.52
23,34,7.06,0.44,55.59
9,30,6.91,0.16,4.99
7,29,6.78,0.14,3.51
20,33,7.01,0.39,48.79
3,29,6.73,0.04,6.25
26,35,7.07,0.44,60.57
2,28,6.78,0.01,5.79
15,32,7.02,0.34,35.62
26,35,7.12,0.45,60.78
20,32,7.02,0.4,47.98
22,34,7.06,0.42,52.61
14,32,7.01,0.3,30.84
25,35,7.07,0.46,59.07
1,28,6.7,0.02,3.46
4,31,6.78,0.05,5.53
3,29,6.77,0.05,5.24
28,32,7.03,0.46,62.71
12,30,6.93,0.25,18.38
1,29,6.74,0.0,0.0
15,32,7.0,0.32,35.72
24,34,7.1,0.43,56.91
8,29,6.87,0.15,3.97
22,33,7.03,0.41,52.22
3,31,6.73,0.03,6.5
11,29,6.92,0.23,12.79
20,34,6.98,0.4,47.29
5,30,6.82,0.08,4.62
0,26,6.71,0.0,0.0
13,33,6.98,0.3,24.99
2,29,6.77,0.04,6.02
4,30,6.75,0.05,6.19
17,33,6.97,0.37,43.17
10,31,6.89,0.2,8.23
23,33,7.05,0.42,54.26
10,29,6.91,0.2,8.2
18,32,6.99,0.39,44.39
26,34,7.1,0.45,60.98
10,31,6.9,0.19,8.91
23,34,7.09,0.42,54.33
9,30,6.88,0.19,5.56
26,35,7.11,0.44,60.76
5,30,6.8,0.08,4.25
17,34,7.01,0.38,43.15
3,31,6.71,0.03,5.65
24,35,7.13,0.4,56.59
24,35,7.07,0.42,57.36
29,32,7.02,0.46,61.94
27,33,7.1,0.46,61.61
12,31,6.93,0.26,18.5
11,31,6.92,0.23,13.06
24,35,7.11,0.44,57.34
29,32,7.0,0.45,62.43
30,29,6.91,0.46,60.19
25,36,7.07,0.44,58.68
14,33,7.0,0.28,30.92
15,32,7.01,0.33,37.89
23,35,7.06,0.43,54.68
23,35,7.07,0.43,54.9
4,29,6.75,0.06,5.5
16,34,6.98,0.34,40.74
9,29,6.87,0.18,4.67
14,32,6.99,0.31,31.38
3,30,6.76,0.05,5.43
17,33,6.97,0.36,43.62
19,33,6.99,0.39,45.56
11,31,6.92,0.23,12.74
29,31,6.97,0.43,62.75
14,32,6.99,0.28,30.53
10,30,6.96,0.19,8.33
28,34,7.09,0.44,62.01
16,34,6.99,0.34,40.26
18,34,7.01,0.37,45.25
28,33,7.09,0.46,62.09
20,32,7.01,0.42,48.56
30,29,6.86,0.47,61.42
4,31,6.8,0.04,5.63
3,29,6.75,0.05,6.5
15,33,7.0,0.31,36.8
2,29,6.7,0.02,5.78
14,32,6.99,0.31,31.73
25,36,7.12,0.44,59.01
23,35,7.06,0.44,54.87
27,35,7.08,0.44,62.34
21,32,7.0,0.41,50.48
28,33,7.02,0.45,62.45
23,35,7.07,0.42,54.62
18,33,7.01,0.37,45.53
23,34,7.09,0.43,54.87
14,33,7.0,0.29,31.48
3,29,6.75,0.03,5.83
21,32,7.05,0.41,50.11
15,32,7.0,0.32,36.21
17,33,7.02,0.37,42.62
11,31,6.99,0.23,11.96
13,32,6.95,0.29,25.12
30,29,6.92,0.45,61.34
29,33,7.01,0.43,61.6
0,25,6.71,0.01,0.26
8,31,6.82,0.15,4.0
23,34,7.09,0.43,55.14
27,35,7.07,0.43,62.62
22,33,7.06,0.42,52.59
2,29,6.75,0.01,5.25
29,32,7.02,0.44,61.66
24,36,7.12,0.43,57.31
10,31,6.89,0.21,8.9
5,31,6.82,0.09,5.62
19,32,7.01,0.38,47.05
18,32,7.01,0.36,44.99
29,32,7.0,0.43,62.78
21,34,7.05,0.41,50.42
23,35,7.01,0.43,54.56
14,34,7.02,0.31,30.54
23,34,7.07,0.43,54.29
17,34,7.03,0.35,42.73
20,33,7.02,0.4,47.07
6,30,6.83,0.1,4.23
10,31,6.91,0.21,7.78
26,36,7.08,0.42,61.51
8,29,6.84,0.14,4.58
25,34,7.11,0.43,59.19
24,36,7.1,0.43,57.02
22,33,7.05,0.4,52.25
21,33,7.04,0.42,50.85
11,31,6.95,0.24,13.19
13,33,6.96,0.27,25.09
5,29,6.78,0.07,5.52
28,32,7.06,0.43,62.77
16,34,6.99,0.32,40.49
17,32,7.0,0.36,42.85
9,31,6.89,0.16,6.16
27,34,7.08,0.45,62.28
15,33,7.0,0.31,36.01
22,33,7.07,0.43,52.81
21,33,6.98,0.41,49.78
3,29,6.76,0.05,5.73
30,29,6.92,0.46,61.21
3,30,6.76,0.03,7.03
22,34,7.02,0.42,51.95
8,31,6.84,0.15,4.17
20,34,7.0,0.41,47.46
13,32,6.99,0.27,25.56
5,31,6.82,0.09,4.73
2,29,6.77,0.0,0.0
23,33,7.07,0.41,54.48
19,32,6.98,0.38,47.53
21,32,7.02,0.42,50.24
6,30,6.83,0.11,4.63
21,32,6.99,0.41,49.81
16,32,6.99,0.35,40.45
20,34,7.01,0.4,47.75
8,31,6.9,0.15,4.26
10,29,6.92,0.2,9.37
21,33,7.01,0.41,50.3
7,31,6.84,0.14,3.95
25,36,7.08,0.44,58.45
22,33,7.04,0.43,51.77
11,29,6.93,0.22,12.78
10,29,6.89,0.2,8.23
7,29,6.86,0.12,4.06
24,35,7.1,0.43,57.88
17,33,6.98,0.36,43.27
0,27,6.69,0.0,0.0
14,33,6.97,0.3,31.73
28,34,7.0,0.45,62.02
6,31,6.78,0.12,4.91
24,34,7.09,0.43,57.1
16,32,7.02,0.33,40.78
28,32,7.07,0.46,63.04
23,34,7.07,0.43,55.21
8,30,6.83,0.14,3.32
8,31,6.85,0.16,3.83
22,33,7.04,0.41,52.15
4,29,6.78,0.05,6.11
4,31,6.75,0.06,5.19
20,34,7.0,0.4,48.04
18,32,7.01,0.36,45.54
10,30,6.92,0.19,9.87
12,31,6.96,0.25,19.18
9,30,6.89,0.14,5.11
8,31,6.85,0.17,3.35
21,33,7.02,0.39,49.67
27,35,7.08,0.45,62.2
25,34,7.13,0.43,59.16
21,32,6.99,0.42,50.13
6,29,6.81,0.12,3.96
28,33,7.08,0.46,62.55
14,34,7.03,0.31,30.69
0,27,6.68,0.0,0.0
23,33,7.08,0.42,54.36
24,36,7.06,0.44,57.15
16,32,6.97,0.34,39.94
23,33,7.05,0.45,54.42
24,36,7.07,0.42,56.74
20,34,7.0,0.41,48.0
4,29,6.77,0.05,6.14
19,32,6.99,0.41,47.37
20,32,7.04,0.4,48.17
12,30,6.97,0.25,19.57
5,30,6.82,0.07,4.77
4,29,6.79,0.03,5.36
11,31,6.97,0.23,14.41
30,28,6.87,0.45,60.18
6,29,6.83,0.09,3.55
25,35,7.12,0.43,58.9
5,30,6.85,0.07,4.22
1,29,6.72,0.02,3.09
1,27,6.74,0.0,0.0
19,34,6.97,0.4,45.65
28,32,7.08,0.46,61.78
26,36,7.09,0.46,60.73
11,31,6.93,0.23,12.84
0,26,6.7,0.0,0.0
4,31,6.79,0.07,6.74
12,31,6.95,0.25,18.91
3,30,6.78,0.07,6.85
24,36,7.11,0.44,57.21
27,34,7.1,0.46,62.25
0,25,6.68,0.0,0.0
13,33,6.96,0.28,25.14
10,29,6.92,0.2,7.89
30,30,6.92,0.46,60.76
18,33,7.0,0.37,44.1
18,33,6.99,0.38,45.53
11,30,6.9,0.23,12.78
11,29,6.92,0.22,12.15
17,34,7.0,0.37,43.32
11,29,6.94,0.22,12.69
4,30,6.8,0.06,6.93
25,36,7.08,0.45,59.48
7,30,6.87,0.12,3.73
29,32,7.02,0.44,62.53
9,30,6.89,0.17,6.18
19,32,6.97,0.39,47.51
30,28,6.88,0.45,61.16
18,34,6.96,0.36,44.09
29,31,6.96,0.45,62.25
23,35,7.05,0.44,55.58
27,33,7.08,0.45,61.59
26,36,7.09,0.44,60.93
8,31,6.88,0.14,4.76
25,36,7.1,0.45,58.79
0,27,6.69,0.0,0.0
8,31,6.86,0.14,4.09
20,33,6.99,0.41,48.39
1,27,6.7,0.0,0.0
25,34,7.12,0.44,59.43
24,36,7.08,0.44,56.17
29,31,7.01,0.45,61.32
1,27,6.72,0.01,3.4
29,33,7.03,0.45,61.43
30,28,6.94,0.44,60.55
7,31,6.81,0.11,3.94
25,34,7.06,0.46,58.61
28,32,7.03,0.43,62.71
17,32,6.97,0.36,43.02
1,27,6.68,0.0,0.0
6,31,6.8,0.1,3.51
13,31,6.95,0.29,24.93
27,33,7.11,0.46,61.16
10,31,6.92,0.19,8.76
21,34,7.01,0.4,49.92
17,32,7.04,0.36,43.51
5,31,6.79,0.07,4.94
18,33,7.0,0.38,45.04
2,29,6.7,0.03,5.59
26,34,7.09,0.43,60.29
30,29,6.92,0.44,59.95
6,31,6.84,0.1,3.56
10,29,6.92,0.21,8.56
9,31,6.86,0.17,5.34
9,29,6.86,0.17,5.94
26,35,7.07,0.45,60.82
4,30,6.77,0.04,5.45
30,28,6.88,0.45,60.27
8,29,6.87,0.14,3.59
9,30,6.85,0.17,6.26
27,33,7.11,0.43,61.23
20,33,7.03,0.4,48.4
20,34,7.01,0.41,48.01
22,35,7.04,0.43,52.71
18,32,6.94,0.36,45.06
26,34,7.1,0.44,61.39
11,30,6.9,0.22,12.53
2,29,6.74,0.02,4.55
24,36,7.09,0.44,57.65
9,29,6.89,0.18,5.23
23,35,7.05,0.42,54.39
29,31,6.98,0.44,62.54
2,29,6.72,0.02,5.46
23,35,7.06,0.42,54.08
15,33,6.97,0.32,37.41
30,28,6.93,0.46,61.39
0,27,6.69,0.01,0.0
8,29,6.85,0.13,4.0
30,29,6.89,0.45,60.95
25,35,7.05,0.44,58.51
4,31,6.78,0.06,6.6
21,34,7.05,0.4,49.75
0,26,6.74,0.0,0.0
22,34,7.02,0.44,51.59
20,32,6.99,0.38,48.49
8,29,6.83,0.15,3.78
10,29,6.9,0.19,8.01
26,34,7.08,0.44,59.9
10,31,6.9,0.2,8.61
19,33,7.0,0.39,46.83
8,29,6.84,0.15,4.46
16,32,7.04,0.35,40.21
21,34,7.02,0.43,50.05
29,32,6.96,0.43,62.57
6,29,6.83,0.11,5.18
21,32,7.06,0.39,49.57
19,32,6.99,0.4,46.93
27,34,7.1,0.46,61.7
12,32,6.94,0.24,19.05
22,34,7.04,0.44,51.7
1,29,6.71,0.01,4.1
8,31,6.85,0.15,3.74
9,31,6.89,0.16,5.38
28,33,7.09,0.46,62.08
14,34,6.95,0.29,30.49
20,32,7.02,0.39,48.93
20,33,6.98,0.41,48.93
14,34,6.98,0.29,31.48
19,34,7.02,0.38,46.37
28,32,7.06,0.44,63.4
4,29,6.78,0.05,5.95
18,33,7.01,0.36,44.95
5,29,6.81,0.09,4.71
24,34,7.09,0.43,56.06
12,31,6.94,0.25,18.71
20,32,7.0,0.39,48.29
3,31,6.78,0.03,5.49
26,35,7.1,0.45,60.72
18,34,7.01,0.36,45.39
11,29,6.93,0.23,13.15
4,31,6.75,0.07,5.07
11,30,6.93,0.22,13.38
4,30,6.81,0.05,5.41
17,33,7.03,0.36,43.95
26,34,7.07,0.41,61.7
5,31,6.8,0.1,5.1
2,28,6.72,0.01,5.79
1,28,6.76,0.01,3.58
28,32,7.03,0.44,62.35
22,35,7.04,0.43,52.51
15,34,6.97,0.33,37.07
30,29,6.92,0.46,60.66
9,30,6.9,0.16,5.04
22,35,7.02,0.41,52.17
30,28,6.88,0.46,59.75
27,34,7.08,0.43,61.82
10,29,6.91,0.19,8.87
24,35,7.06,0.42,56.16
30,29,6.92,0.45,60.35
16,34,7.04,0.34,40.0
25,34,7.09,0.44,58.67
5,30,6.77,0.08,4.9
26,34,7.07,0.45,60.6
16,32,6.96,0.33,40.54
26,34,7.08,0.45,60.89
29,32,6.99,0.44,61.97
10,30,6.88,0.2,8.28
20,34,6.97,0.41,47.37
27,35,7.09,0.46,62.09
12,31,6.94,0.26,18.73
17,34,6.99,0.37,42.8
21,33,7.05,0.39,50.38
2,28,6.76,0.01,4.73
24,34,7.09,0.44,56.4
18,32,7.01,0.37,44.92
27,35,7.08,0.46,61.72
19,34,7.0,0.4,47.07
16,34,6.99,0.34,40.0
28,34,7.05,0.45,62.3
20,34,6.99,0.4,48.04
21,33,7.0,0.4,49.76
27,34,7.13,0.46,62.36
23,33,7.04,0.41,54.51
15,34,6.97,0.32,36.27
3,30,6.74,0.05,5.17
19,34,6.97,0.4,46.5
0,25,6.73,0.0,0.0
12,31,6.94,0.24,18.29
22,35,7.04,0.42,52.13
10,29,6.9,0.2,8.7
4,31,6.78,0.06,5.42
24,36,7.1,0.43,57.63
1,27,6.74,0.02,3.65
5,30,6.8,0.07,5.06
6,31,6.81,0.09,3.99
11,29,6.93,0.23,13.58
5,29,6.76,0.09,5.7
1,28,6.69,0.0,0.0
4,31,6.78,0.06,6.68
3,31,6.77,0.04,6.01
14,32,6.98,0.3,31.07
12,32,6.94,0.24,20.26
6,31,6.82,0.1,4.04
12,31,6.93,0.26,19.32
24,35,7.1,0.43,57.69
19,34,7.01,0.38,46.28
21,34,7.0,0.43,50.3
5,31,6.78,0.07,5.33
22,35,7.07,0.43,52.95
6,30,6.84,0.1,4.69
0,26,6.67,0.0,0.0
9,29,6.88,0.18,4.78
5,30,6.79,0.08,4.51
15,34,6.98,0.33,35.64
9,31,6.85,0.17,5.36
22,34,7.02,0.42,52.05
4,29,6.76,0.05,5.73
0,25,6.69,0.01,0.27
3,31,6.75,0.04,6.37
22,35,7.03,0.42,52.97
15,32,7.01,0.32,37.42
4,30,6.77,0.05,6.32
8,31,6.83,0.14,3.49
9,30,6.87,0.19,6.04
8,29,6.87,0.15,4.42
4,30,6.79,0.06,5.0
21,34,7.03,0.4,50.11
22,33,7.04,0.44,52.26
3,29,6.79,0.04,5.87
2,30,6.73,0.04,6.37
16,32,7.01,0.36,39.97
4,30,6.75,0.06,6.72
23,35,7.01,0.44,54.33
11,30,6.91,0.24,12.39
12,32,6.96,0.25,19.35
23,33,7.05,0.44,54.67
27,33,7.09,0.45,61.72
6,29,6.84,0.08,3.97
1,29,6.74,0.0,0.0
14,32,6.99,0.3,31.6
5,30,6.8,0.09,5.77
23,34,7.07,0.42,54.47
19,33,6.97,0.41,47.12
27,34,7.11,0.44,61.15
6,31,6.81,0.09,4.66
13,32,6.96,0.29,24.66
28,34,7.05,0.47,62.21
26,34,7.12,0.44,60.38
0,25,6.69,0.03,0.0
13,33,6.96,0.28,24.34
2,29,6.74,0.02,5.7
13,31,6.97,0.3,24.63
20,34,6.97,0.42,47.41
26,35,7.08,0.44,60.97
3,31,6.78,0.04,5.82
3,30,6.74,0.03,7.18
1,29,6.71,0.02,3.25
29,33,7.0,0.45,61.92
30,30,6.91,0.45,60.18
16,34,7.0,0.34,39.88
7,31,6.8,0.12,3.46
14,33,6.98,0.29,31.18
1,28,6.72,0.02,3.11
28,32,7.05,0.45,62.03
29,31,6.96,0.46,62.24
20,32,7.01,0.39,48.82
3,29,6.75,0.06,5.4
30,28,6.92,0.44,60.74
18,32,7.02,0.36,44.96
11,31,6.95,0.22,12.73
28,32,7.07,0.46,62.91
2,28,6.73,0.01,5.69
8,30,6.79,0.14,4.36
20,34,7.01,0.41,48.39
18,33,7.02,0.35,44.86
8,31,6.82,0.16,3.65
23,34,7.1,0.45,54.77
15,34,6.99,0.31,36.78
26,35,7.11,0.45,61.29
2,29,6.72,0.02,5.05
3,30,6.76,0.07,6.0
1,27,6.7,0.0,0.0
29,33,6.98,0.45,62.54
21,34,7.02,0.41,50.61
23,34,7.05,0.42,55.05
7,30,6.84,0.12,3.33
13,31,6.98,0.28,25.47
10,31,6.91,0.22,9.43
18,34,6.97,0.36,44.31
22,33,7.02,0.43,51.87
4,31,6.78,0.08,6.08
23,35,7.05,0.45,54.87
26,36,7.12,0.43,60.37
9,29,6.88,0.19,5.13
25,34,7.06,0.43,59.05
8,31,6.87,0.18,4.81
25,34,7.09,0.43,59.03
9,31,6.85,0.17,5.82
21,32,7.04,0.42,50.18
18,33,7.03,0.38,44.31
2,29,6.76,0.01,6.03
0,25,6.71,0.03,0.0
15,34,7.01,0.31,36.64
17,33,6.96,0.36,42.83
1,27,6.7,0.01,3.52
3,29,6.76,0.03,5.85
23,33,7.08,0.43,54.57
9,30,6.88,0.17,6.45
24,34,7.1,0.43,56.66
8,31,6.87,0.15,4.92
19,34,6.95,0.37,46.13
24,35,7.06,0.42,56.16
24,34,7.11,0.43,57.76
22,33,7.01,0.43,52.7
25,36,7.1,0.43,59.6
19,34,6.98,0.38,46.56
25,36,7.11,0.44,58.7
20,32,6.98,0.4,47.55
20,32,7.0,0.41,48.57
